id	text	quantity	unit	price
400001	Am 05.01.2022 Sicherungskasten überprüft und beschriftet	1,5	Stunde	45
400002	Steckdose Unterputz weiß montiert	3	St	12,5
400003	Lichtschalter tauschen Fabrikat Busch-Jaeger	2	St	18
400004	Deckenleuchte montiert inkl. Anschluss	1	St	55
400005	Kabelkanal PVC weiß montiert	4	m	6,2
400006	Wasserhahn Küche demontiert und neu montiert	1	St	75
400007	Siphon Waschbecken erneuert	1	St	22
400008	Wandfläche verspachteln und schleifen	5,2	m²	6
400009	Wandfläche weiß streichen	5,2	m²	4,3
400010	Silikonfugen Bad erneuert	3	m	7,5
400011	Heizkörper entlüftet und geprüft	2	St	15
400012	Thermostatventil montiert	1	St	38
400013	Fußbodenleisten montiert	12	m	4
400014	Türband nachjustiert	1	St	20
400015	Türschloss austauschen	1	St	65
400016	Fenstergriff erneuert	2	St	14
400017	Rollladengurt erneuert	1	St	48
400018	Duschkopf und Brausestange montiert	1	St	59
400019	WC-Sitz montiert weiß	1	St	27
400020	Waschtisch montiert inkl. Befestigung	1	St	110
400021	Spiegel Bad montiert	1	St	45
400022	Badmöbel montiert	1	St	95
400023	Küchenoberschrank montiert	2	St	85
400024	Arbeitsplatte ausgeschnitten und montiert	1	St	160
400025	Elektroherd angeschlossen	1	St	75
400026	Geschirrspüler angeschlossen	1	St	65
400027	Waschmaschine angeschlossen	1	St	55
400028	Abflussleitung Küche gereinigt	1	St	90
400029	HT-Rohr 50 mm montiert	2	St	14,5
400030	Übergang HT auf SML montiert	1	St	22
400031	SML Rohr 100 mm montiert	1	St	48
400032	Außenwasserhahn montiert frostsicher	1	St	120
400033	Gartenwasserleitung verlegt	8	m	9,5
400034	Hecke schneiden und entsorgen	1	Stück	110
400035	Rasen mähen und Kanten schneiden	1	Stück	75
400036	Terrassenplatten reinigen	12	m²	6,8
400037	Dachrinne reinigen	6	m	5,5
400038	Fassade punktuell ausgebessert	3	m²	12
400039	Kellerraum entrümpelt	2	Stunde	42
400040	Sperrmüll Abtransport	1	Stück	140
400041	Möbel demontiert	1,5	Stunde	45
400042	Möbel montiert	2	Stunde	45
400043	Bohrarbeiten Betonwand	6	St	4
400044	Regal montiert	1	St	35
400045	TV-Wandhalterung montiert	1	St	85
400046	Netzwerkkabel verlegt	10	m	3,8
400047	Router installiert und konfiguriert	1	St	95
400048	Rauchmelder montiert	3	St	18
400049	Bewegungsmelder montiert	1	St	65
400050	Endkontrolle und Funktionsprüfung	0,5	Stunde	45
