id,text,quantity,unit,price,label
204884,"Am 23.6.2021 neue Automaten montiert und Zuleitungen aufgeteilt, Montage","2,5",Stunde,"43,5",labor
152859,Wc Sitz weiß (1010900),1,St,27,material
201264,Dachkante und Fassade freischneiden Baum Nr. 30,1,Stück,80,labor
157853,Deckenfläche streichen,"4,84",m²,"4,1",labor
253783,SML Übergangsrohn 100 X 50 mm Fabrikat Düker,1,ST,"20,9",material
168390,HT Bogen DN 50 87°,1,Stck.,"0,72",material
163415,Viega Optefix 5,1,Stk,"199,99",material
171872,Dispersions-Silikatfarbe,"2,5",Liter,"5,56",material
238866,"Kochendwassergeraet Stiebel Eltron EBK 5 GA automatic, 5I, 074287, 2kW/230V",1,Stk,"300,6",material
253242,"fischer Sanitärbefestigung WCR 6 X 80, für Stand WC¿S und Bidets",1,Stück,"2,35",material
210967,Etsrich,180,Kg,"0,39",material
180993,Trompetenbaum Formschnitt Kugel,2,Stück,110,material
180483,Comfort Freistromventil Oberteil DN 25,1,Stck.,"13,44",material
247940,"Bauplatte, Kleinmaterial",1,Stck,28,material
187369,"Sanpress Anschluss- Verschraubung 22x1""",1,Stck.,"4,6",material
229270,Abdeckungen Steckdose Vollplatte,8,Stück,3,material
181072,Einlaufstutzen DN 100 mm aus Titanzink in die Dachrinnen eingearbeitet und als Zulage zur Rinne eingelötet.,1,st,"8,5",material
203281,Balkonbrüstung: Farbschaden ausgebessert Risse in den Wandecken mit Acrylat ausg efüllt. Risse in den Wänden verapchtelt. Macken in Wänden verspachtelt.,8,Stunde/n,44,labor
142634,ELTROPA Feuchtraumleuchte 58W T8 EVG II ECA 58 EVG IP65 IK02 (8241817),1,Stk,"58,77",material
213249,"Rotguss Winkel 1""",1,Stck.,"5,4",material
135475,"DK-Schließ, Dreh-Kipp-Schließblech [Dreh-Kipp-Schließblech]",1,Stk.,"9,5",material
228373,Wandfliesen verlegen inkl. Transport,1,qm,32,labor
134960,"Fahrtkilometer, anteilig",76,km,"0,85",other
253779,"fort-Rohr mit 1 Muffe schallgedämmt aus mineralverstärktem Polypropylen (PP) mit einge- legtem Lippendichtelement und Zentimetermarkierung für einfaches zuschneiden der Rohr- länge heißwasserbeständig entspricht der DIN 4102, B2 auch für Erdverlegung zugelassen Zulassungs-Nr. Z-42.1-539 Schallschutzprüfung nach den neuesten Prüfbedingungen des Fraunhof",2,ST,"4,83",material
194725,"VI SANPRESS Übergangsstück 2211 18mmxR1/2"" AG, Rotguss Sanpress-Ubergangsstück mit SC-Contur, aus Rotguss, mit Mehrkant, mit Außengewinde,",2,ST,"4,2",material
193320,"Bäume wurden überprüft, das Ergebnis wurde per Mail am 13.5.2020 mitgeteilt","2,5",Std,52,labor
255264,Platten / Zement / Splitt,1,psch.,"45,4",material
143408,"Facharbeiterstunden WOBAU Bürstendichtung geliefert und montiert, Schließblech nachgearbeitet, Beschlag neu befestigt. (AA-STD.0003)",1,Std,38,labor
218247,"Durch Sturmeinwirkung beschädigtes Dachfenster demontiert, runtergeschafft und entsorgt",1,Stück,38,labor
182287,Entsorgungskosten alte Fenster [Entsorgungs alt],2,St.,10,other
187996,Facharbeiterstunden Leistungserbringung am 08.05.2018 Nach Rohrerneuerung Wände und Fliesen repariert,"2,5",Std.,40,labor
172110,Sicherheitsvorkehrungen / Steighilfen,1,Stück,30,labor
153414,SDS-Bohrer 10/210mm,1,Stck,"8,36",material
198225,Monteurstunde FN-Speicher Samson ventil / Thermostat ebenf. erneuert Rechnung direkt von FN,13,,46,labor
197649,"Fliesenlegermeister-Stunde Wannenöffnung schliessen,beschädigte Wandfliesen ausstemmen und neu einsetzen,","2,5",Std,45,labor
178561,Klingeldrücker Kombifix,1,Stück,"11,7",material
253118,RENO-BZ-Garnitur,1,Stck.,"88,65",material
171952,Betonplatten 50*50,22,Stk,"4,99",material
246522,Arbeitsstunden Helfen,9,Stück,38,labor
161473,"SANPRESS Übergangsstück 2213P 16x15mm, Rotguss",1,,"9,17",material
214276,Monteurstunde einschl. der Fahrtzeit,1,,"37,82",labor
153984,"Presswinkel MLC Uponor 90 Grad 16 x16mm (UCPW16) Presswinkel MLC Uponor 90 Grad 16 x16mm aus Messing verzinnt, mit fixierten Presshülse und Pressanschlag, bewährter Prüfsicherheit ""unverpresst undicht"". Verpresst-Kennzeichnung (Abfallen des Anschlagringes nach der Verpressung) und Farbkodierung. Pressen ohne Entgra- ten.",3,ST,"6,82",material
198245,Ahorn Nr.2. Fassade freischneiden,1,Stück,50,labor
231890,Materialpauschale für Bauplatte und Fläschenspachtel,1,Stück,"7,5",material
182690,Fullmaterial,"31,6",t,"9,8",material
196704,SIEDLE Haustelefon Bus AP WS Internkomm Standard BTS 850-02 W TüröffnAutom (4974557),1,Stk,74,material
147148,"GK-Decke abhängen als Zulage, Zulage für das Abhängen der Gipskartonplattendecke bis 50 cm. [09.41]","12,63",M2,4,labor
205100,BZ-Lüftungssieb (BZ-Lüftungs),1,St.,"5,25",material
187165,"Fliesenlegermeister-Stunde:beschädigte Wandfliesen ausstemmen und neu einsetzen, Silikonfugen erneuern",4,Std,45,labor
175602,"Rohrbeluefter 1/2"" m.Anschlussbogen verchromt",1,,"48,46",material
174131,Dübel Fischer S 10,5,ST,"0,45",material
139055,"Am 6.6.2019 Schalter und Steckdosen befestigt, Putzausgleichsringe gesetzt da Schalterdosen zu tief. Fliesen leicht ausgestemmt um Ringe zu setzen, Schaltermaterial erneuert. Montage","1,75",Stunde,39,labor
173230,"Rundschnur, Silikon",1,X,12,material
253947,BB-Garniur,1,Stck.,"33,6",material
184303,sanibel 1001 Waschtisch-Batterie A16 mit Ablaufgarnitur für ND verchromt,1,,61,material
198736,Stundenlohn Helfer (Std Helfer18) 1 X Zulage Gerüststellung für Montage und Aufmaß wegen Kellertreppe direkt vor dem Fenster.,2,Std,27,labor
164991,"SH-Armaflex KT:36 m. Typ SH 24/22 für 22 mm CU+1/2"" je Meter",2,m,"6,24",material
133386,Kupplung Uponor S-Press PLUS MLC 16 X 16mm [UCPK16N],1,ST,"5,38",material
